timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1506690390538,0,BeanShell Sampler,200,OK,HKPC3ITS006_Carrier_Management_Air_B/L_Maintenance_1x 10-1,text,true,,563,0,1,14,0,0,0
1506690387875,3145,76 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_PO_Management_PO_Maintenance_1x 3-1,text,true,,28979,2135,1,14,37,0,1
1506690389414,1611,1071 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_My_Shipment_1x 12-1,text,true,,28971,2153,1,14,1509,0,1
1506690389417,1619,1113 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Cargo_Management_Air_e-Packing_List_Maintenance_1x 13-1,text,true,,28987,2159,1,14,1508,0,1
1506690388708,2335,127 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,28990,2177,1,14,979,0,1
1506690391025,25,1074 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Carrier_Management_My_Shipment_1x 12-1,text,true,,779,619,1,14,25,0,0
1506690388364,1636,CMMS_Open Web Portal,200,"Number of samples in transaction : 2, number of failing samples : 0",HKPC3ITS006_Carrier_Management_My_Shipment_1x 12-1,,true,,29750,2772,1,14,1534,1050,1
1506690391050,1,BeanShell Sampler,200,OK,HKPC3ITS006_Carrier_Management_My_Shipment_1x 12-1,text,true,,555,0,1,14,0,0,0
1506690391036,64,1114 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Cargo_Management_Air_e-Packing_List_Maintenance_1x 13-1,text,true,,27686,1471,1,14,19,0,0
1506690389695,1420,1155 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Cargo_Management_Sea_e-Packing_List_Maintenance_1x 14-1,text,true,,28991,2174,1,14,1348,0,2
1506690389127,2018,941 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Sea_Booking_Maintenance(Operation)_1x 9-1,text,true,,28990,2186,1,14,1926,0,2
1506690389695,1452,142 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Virtual_Buying_Office_1x 1-1,text,true,,27791,1379,1,14,1390,0,2
1506690391100,59,1115 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Cargo_Management_Air_e-Packing_List_Maintenance_1x 13-1,text,true,,26828,743,1,14,59,0,0
1506690389305,1856,1030 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Sea_B/L_Maintenance_1x 11-1,text,true,,28986,2156,1,14,1762,0,2
1506690391147,113,143 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Virtual_Buying_Office_1x 1-1,text,true,,26801,697,1,14,113,0,0
1506690391260,26,144 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Report_Virtual_Buying_Office_1x 1-1,text,true,,775,619,1,14,26,0,0
1506690391286,1,BeanShell Sampler,200,OK,HKPC3ITS006_Report_Virtual_Buying_Office_1x 1-1,text,true,,550,0,1,14,0,0,0
1506690391161,149,1031 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Sea_B/L_Maintenance_1x 11-1,text,true,,27679,1469,1,14,66,0,0
1506690388895,3022,768 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,28982,2177,1,14,820,0,2
1506690391145,813,942 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Sea_Booking_Maintenance(Operation)_1x 9-1,text,true,,27696,1489,1,14,770,0,2
1506690391043,917,128 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,27691,1483,1,14,867,0,2
1506690391960,43,129 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,26833,749,1,14,43,0,0
1506690391917,94,769 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,27677,1483,1,14,44,0,0
1506690391958,55,943 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Sea_Booking_Maintenance(Operation)_1x 9-1,text,true,,26833,752,1,14,54,0,0
1506690391020,994,77 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_PO_Management_PO_Maintenance_1x 3-1,text,true,,27671,1455,1,14,908,0,5
1506690392003,17,130 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,798,619,1,14,17,0,0
1506690387659,3312,VMSM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,,true,,84312,5028,1,14,1906,1050,3
1506690392021,0,BeanShell Sampler,200,OK,HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,574,0,1,14,0,0,0
1506690392013,26,944 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Carrier_Management_Sea_Booking_Maintenance(Operation)_1x 9-1,text,true,,801,619,1,14,26,0,0
1506690388074,2912,CMSBM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS006_Carrier_Management_Sea_Booking_Maintenance(Operation)_1x 9-1,,true,,84320,5046,1,14,2776,1053,4
1506690392039,1,BeanShell Sampler,200,OK,HKPC3ITS006_Carrier_Management_Sea_Booking_Maintenance(Operation)_1x 9-1,text,true,,577,0,1,14,0,0,0
1506690392011,35,770 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,26825,749,1,14,34,0,0
1506690392046,12,771 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,786,619,1,14,12,0,0
1506690387797,3163,VMDA_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS006_Vendor_Management_Discrepancy_Approval_1x 7-1,,true,,84270,5028,1,14,910,1098,2
1506690392014,45,78 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_PO_Management_PO_Maintenance_1x 3-1,text,true,,26802,735,1,14,45,0,0
1506690392058,1,BeanShell Sampler,200,OK,HKPC3ITS006_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,562,0,1,14,0,0,0
1506690392059,15,79 /kerriervision/invalidSession,200,OK,HKPC3ITS006_PO_Management_PO_Maintenance_1x 3-1,text,true,,776,619,1,14,15,0,0
1506690386815,4199,POMPM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS006_PO_Management_PO_Maintenance_1x 3-1,,true,,84228,4944,1,14,1005,1060,6
1506690392074,0,BeanShell Sampler,200,OK,HKPC3ITS006_PO_Management_PO_Maintenance_1x 3-1,text,true,,552,0,1,14,0,0,0
1506690391310,825,1032 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Sea_B/L_Maintenance_1x 11-1,text,true,,26824,742,1,14,824,0,2
1506690392135,15,1033 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Carrier_Management_Sea_B/L_Maintenance_1x 11-1,text,true,,787,619,1,14,15,0,0
