timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505208068844,1968,CMSBM_Click to View Detail,200,"Number of samples in transaction : 14, number of failing samples : 0",HKPC3ITS005_Carrier_Management_Sea_Booking_Maintenance(Operation)_01 15-1,,true,,624051,12739,1,14,1332,160753,20
1505208232478,104,1186 /kerriervision/kerriervbo/dispatcher/seaEPackingList-flow,200,OK,HKPC3ITS005_Cargo_Management_Sea_e-Packing_List_Maintenance 14-3,text,true,,57893,723,1,14,104,0,1
1505208232889,1,BeanShell Sampler,200,OK,HKPC3ITS005_Vendor_Management_Air_e_booking_Maintenance(Vendor) 5-3,text,true,,647,0,1,14,0,0,0
1505208233046,290,288 /kerriervision/kerriervbo/dispatcher/hawbMaint-flow,200,OK,HKPC3ITS005_Carrier_Management_Air_B/L_Maintenance 10-3,text,true,,97678,3255,1,14,17,0,2
1505208234085,39,1146 /kerriervision/kerriervbo/dispatcher/showImage-flow,200,OK,HKPC3ITS005_Cargo_Management_Air_e-Packing_List_Maintenance 13-3,bin,true,,2752,650,1,14,16,0,2
1505208186198,263,CMAPLM_Open Air e-Packing page,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS005_Cargo_Management_Air_e-Packing_List_Maintenance 13-3,,true,,120884,3547,1,14,139,47661,6
1505208234879,149,160 /kerriervision/kerriervbo/dispatcher/vboMaint-flow,200,OK,HKPC3ITS005_Report_Virtual_Buying_Office 1-3,text,true,,146625,716,1,14,148,0,2
1505208235883,263,289 /kerriervision/kerriervbo/dispatcher/hawbMaint-flow,200,OK,HKPC3ITS005_Carrier_Management_Air_B/L_Maintenance 10-3,text,true,,96895,759,1,14,263,0,1
1505208236764,94,930 /kerriervision/kerriervbo/dispatcher/showImage-flow,200,OK,HKPC3ITS005_Carrier_Management_Air_Booking_Maintenance(Operation) 8-3,bin,true,,2687,654,1,14,14,0,1
1505208187076,950,CMABM_Open Air booking page,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS005_Carrier_Management_Air_Booking_Maintenance(Operation) 8-3,,true,,236963,5006,1,14,40,48831,2
1505208238900,25,144 /kerriervision/kerriervbo/dispatcher/showImage-flow,200,OK,HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor) 6-3,bin,true,,2754,651,1,14,15,0,2
1505208189630,941,VMSM_Click to open,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor) 6-3,,true,,242823,3552,1,14,478,48352,6
1505208240116,23,393 /kerriervision/kerriervbo/dispatcher/myShipment-flow,200,OK,HKPC3ITS005_Carrier_Management_My_Shipment 12-3,text,true,,1386,900,1,14,23,0,2
1505208169372,974,CMMS_Click to View Detail,200,"Number of samples in transaction : 7, number of failing samples : 0",HKPC3ITS005_Carrier_Management_My_Shipment 12-3,,true,,302826,5918,1,14,643,69792,8
1505208241028,81,590 /kerriervision/kerriervbo/dispatcher/poFollowUp-flow,200,OK,HKPC3ITS005_Vendor_Management_PO_Follow_Up 4-3,text,true,,2331,887,1,14,81,0,2
1505208242678,0,BeanShell Sampler,200,OK,HKPC3ITS005_Report_Analysis_Report 2-3,text,true,,618,0,1,14,0,0,0
1505208244373,14,1188 /kerriervision/kerriervbo/dispatcher/showImage-flow,200,OK,HKPC3ITS005_Cargo_Management_Sea_e-Packing_List_Maintenance 14-3,bin,true,,2752,650,1,14,14,0,1
